Name; IDay; IHour; IMinute; IDate; FDay; FHour; FMinute; FDate; Movie; Alocated Hour; Was Alocated; Alocated Room
Client2;5;13;29;8009;5;20;10;8410;Star Wars;8294;sim;Room3
Client4;2;15;51;3831;2;19;52;4072;Star Wars;3995;sim;Room3
Client1;5;19;17;8357;5;21;13;8473;Star Wars;8387;sim;Room2
Client0;1;13;9;2229;1;19;51;2631;Star Wars;2567;sim;Room3
Client5;4;15;47;6707;4;21;8;7028;Star Wars;6805;sim;Room3
Client3;0;12;34;754;0;21;41;1301;Star Wars;1115;sim;Room3
Client6;0;18;3;1083;0;21;18;1278;Star Wars;1115;sim;Room3
Client7;6;18;41;9761;6;20;13;9853;Star Wars;9833;sim;Room2
Client8;0;19;14;1154;0;21;16;1276;Star Wars;1215;sim;Room1
Client10;4;14;54;6654;4;20;54;7014;Star Wars;6805;sim;Room3
Client9;5;17;1;8221;5;20;14;8414;Star Wars;8294;sim;Room3
Client11;4;16;27;6747;4;21;22;7042;Star Wars;6805;sim;Room3
Client13;6;14;39;9519;6;18;9;9729;Star Wars;9519;sim;Room0
Client14;5;15;23;8123;5;19;29;8369;Star Wars;8294;sim;Room3
Client12;5;11;10;7870;5;23;12;8592;Star Wars;8294;sim;Room3
Client16;3;12;40;5080;3;21;21;5601;Star Wars;5475;sim;Room3
Client15;5;14;3;8043;5;20;15;8415;Star Wars;8294;sim;Room3
Client17;1;18;3;2523;1;21;29;2729;Star Wars;2567;sim;Room3
Client18;0;19;25;1165;0;22;27;1347;Star Wars;1215;sim;Room1
Client19;0;15;35;935;0;19;48;1188;Star Wars;1115;sim;Room3
Client20;4;17;55;6835;4;22;21;7101;Star Wars;7001;sim;Room2
Client21;4;16;36;6756;4;20;30;6990;Star Wars;6805;sim;Room3
Client22;5;20;4;8404;5;22;19;8539;Star Wars;8404;sim;Room1
Client23;4;14;4;6604;4;18;31;6871;Star Wars;6805;sim;Room3
Client24;6;17;4;9664;6;21;8;9908;Star Wars;9733;sim;Room3
Client25;4;13;21;6561;4;19;20;6920;Star Wars;6805;sim;Room3
Client26;0;15;23;923;0;20;30;1230;Star Wars;1115;sim;Room3
Client27;5;14;54;8094;5;19;23;8363;Star Wars;8294;sim;Room3
Client28;2;18;22;3982;2;20;46;4126;Star Wars;3995;sim;Room3
Client29;6;17;34;9694;6;21;14;9914;Star Wars;9733;sim;Room3
Client30;2;15;24;3804;2;20;29;4109;Star Wars;3995;sim;Room3
Client31;4;17;40;6820;4;21;28;7048;Star Wars;7001;sim;Room2
Client32;0;18;8;1088;0;21;20;1280;Star Wars;1115;sim;Room3
Client33;6;15;39;9579;6;19;28;9808;Star Wars;9733;sim;Room3
Client34;1;15;15;2355;1;18;53;2573;Star Wars;2567;sim;Room3
Client35;3;14;25;5185;3;19;40;5500;Star Wars;5475;sim;Room3
Client36;5;15;27;8127;5;20;24;8424;Star Wars;8294;sim;Room3
Client37;3;14;44;5204;3;20;24;5544;Star Wars;5475;sim;Room3
Client38;5;12;20;7940;5;20;8;8408;Star Wars;8294;sim;Room3
Client39;0;16;41;1001;0;19;32;1172;Star Wars;1115;sim;Room3
Client40;3;20;10;5530;3;21;17;5597;Star Wars;5530;sim;Room0
Client41;0;16;23;983;0;20;9;1209;Star Wars;1115;sim;Room3
Client44;6;11;32;9332;6;21;32;9932;Star Wars;9733;sim;Room3
Client42;4;19;38;6938;4;22;10;7090;Star Wars;7001;sim;Room2
Client45;4;17;54;6834;4;21;54;7074;Star Wars;7001;sim;Room2
Client46;3;17;3;5343;3;21;6;5586;Star Wars;5475;sim;Room3
Client47;4;17;17;6797;4;22;3;7083;Star Wars;6805;sim;Room3
Client48;3;16;39;5319;3;19;31;5491;Star Wars;5475;sim;Room3
Client49;4;16;46;6766;4;21;32;7052;Star Wars;6805;sim;Room3
Client50;2;17;27;3927;2;21;5;4145;Star Wars;3995;sim;Room3
Client43;1;14;50;2330;1;20;56;2696;Star Wars;2567;sim;Room3
Client52;6;14;23;9503;6;21;0;9900;Star Wars;9733;sim;Room3
